kmeans,random,greedy,hillclimber
29653,35728,29446,35017
29752,35791,29464,35224
29689,35683,29365,35143
29626,35566,29464,35611
29698,35440,29302,35332
29671,35089,29356,35377
29680,36043,29293,34918
29788,35728,29419,35125
29797,35260,29446,35503
29689,35719,29464,35197
29626,36169,29464,35107
29635,36268,29356,35692
29581,35593,29455,35764
29716,36061,29419,35278
29662,35728,29437,34999
29671,35692,29464,35260
29725,35809,29491,35548
29716,35836,29428,34693
29743,35593,29338,35242
29851,35611,29347,35188
29662,35728,29455,35161
29599,35701,29401,35296
29644,35512,29428,35206
29680,35737,29419,35125
29761,35800,29446,35314
29824,35431,29365,35368
29698,35260,29482,35179
29662,35395,29356,35782
29725,35935,29455,35440
29869,35791,29347,35737
29599,35953,29698,35242
29806,35449,29374,35512
29707,35881,29347,34936
29671,35413,29419,35413
29617,35611,29311,35719
29743,35656,29689,35026
29581,35287,29410,35548
29824,35863,29464,35674
29734,35575,29446,35557
29725,36061,29464,35386
29680,35764,29356,34981
29752,35665,29338,34972
29689,35386,29356,35791
29779,35584,29401,34990
29716,35620,29347,35116
29680,35629,29428,35314
29608,35359,29716,35305
29806,35602,29464,35251
29779,35269,29338,35278
29707,35665,29338,34891
29707,35998,29455,35098
29626,35377,29320,34918
29536,35602,29419,35242
29626,35638,29446,35215
29608,35845,29455,35440
29653,35476,29383,35395
29662,35647,29365,35188
29698,35161,29356,34918
29743,35908,29455,35287
29833,36025,29365,35125
29869,35809,29455,35359
29725,35197,29356,35251
29752,36061,29320,34954
29635,35944,29356,35224
29725,35791,29428,35017
29689,35503,29455,35647
29815,35584,29356,35440
29761,35872,29455,35062
29689,35773,29446,35134
29689,35656,29320,34927
29743,35719,29437,35197
29806,36034,29473,35224
29734,35557,29455,35314
29716,36151,29410,35458
29734,35755,29293,35305
29680,35170,29383,35044
29797,36367,29455,35431
29779,36331,29446,35683
29761,35665,29374,35107
29743,35692,29437,35107
29815,36160,29455,35017
29734,35215,29320,34936
29887,35638,29464,34900
29671,35548,29437,35197
29590,35728,29446,35098
29752,35467,29401,35296
29644,35683,29383,35422
29752,35521,29401,35044
29590,35287,29455,35260
29734,35782,29446,35269
29770,35800,29428,35323
29779,35449,29428,35251
29725,35710,29437,35377
29851,35791,29329,35395
29797,35953,29455,35395
29806,35494,29356,35413
29779,35323,29338,35458
29932,36538,29680,34873
29653,35719,29410,35314
29806,35512,29356,35314
29788,35710,29311,35053
29806,35620,29383,35710
29671,35440,29428,35422
29626,35197,29464,35170
29689,35620,29698,35035
29797,35719,29338,35008
29680,35701,29410,35593
29761,35692,29734,35233
29662,35953,29329,35071
29563,35665,29320,35152
29716,35548,29401,35116
29815,35575,29428,35926
29626,35377,29482,35224
29842,35755,29374,35458
29671,35800,29473,35089
29779,36376,29455,35395
29716,35458,29338,35170
29734,34945,29410,35611
29716,36061,29680,34837
29617,36061,29374,35566
29752,35431,29401,35215
29734,35512,29338,35305
29761,35125,29419,35413
29797,35458,29374,35188
29734,35845,29329,35197
29842,35611,29338,35395
29653,35719,29320,35215
29626,36178,29365,35737
29923,36412,29365,35431
29734,35827,29446,36007
29689,35674,29446,35332
29572,35782,29365,35494
29635,35296,29329,34936
29617,35629,29446,34639
29635,35314,29464,35512
29743,35368,29446,34936
29779,35449,29338,34702
29635,35323,29437,35143
29662,35656,29455,35377
29734,35809,29338,35242
29788,35593,29320,35485
29644,35782,29410,34990
29734,35953,29329,35197
29725,35548,29419,35071
29743,35638,29329,35377
29824,35710,29446,35530
29581,35386,29338,35359
29563,35683,29365,35287
29635,35638,29338,35314
29590,36034,29446,35026
29725,35143,29383,35260
29752,35962,29365,35368
29581,35566,29356,35233
29680,35845,29383,35224
29662,35539,29698,35170
